"cell_num"	"coverage_mean"	"coverage_variance"	"eff_seq_err_rate"	"ado_rate"	"deletion_rate"	"insertion_rate"	"dataset"	"tool"	"snv_type"	"tool_setup"	"fine_tune_type"	"data_type"	"inferred_tree"	"real_tree"	"max_clades"	"RF_distance"	"normalized_RF_distance"	"weighted_RF_distance"	"normalized_weighted_RF_distance"	"rooted_branch_score_difference"
40	5	20	0.001999	0.16334	2e-06	0	3	"sieve"	"candidate_snvs"	"smc_mu_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0003/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0003"	76	24	0.315789473684211	7.44074229024104	0.999998350929033	1.65885656611956
40	5	20	0.001999	0.16334	2e-06	0	4	"sieve"	"candidate_snvs"	"smc_mu_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0004/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0004"	76	28	0.368421052631579	6.64438274461222	0.999998301489824	1.56808438368395
40	5	20	0.001999	0.16334	2e-06	0	5	"sieve"	"candidate_snvs"	"smc_mu_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0005/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0005"	76	14	0.184210526315789	7.51690590104926	0.999998366891307	1.99927091975898
40	5	20	0.001999	0.16334	2e-06	0	6	"sieve"	"candidate_snvs"	"smc_mu_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0006/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0006"	76	8	0.105263157894737	6.78697853343077	0.99999835248683	1.37177910878211
40	5	20	0.001999	0.16334	2e-06	0	7	"sieve"	"candidate_snvs"	"smc_mu_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0007/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0007"	76	22	0.289473684210526	7.76296474078217	0.999998165723691	1.83726210573496
40	5	20	0.001999	0.16334	2e-06	0	8	"sieve"	"candidate_snvs"	"smc_mu_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0008/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0008"	76	26	0.342105263157895	6.21304871503646	0.999998342886817	1.46644328623065
40	5	20	0.001999	0.16334	2e-06	0	9	"sieve"	"candidate_snvs"	"smc_mu_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0009/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0009"	76	16	0.210526315789474	7.12709790715448	0.999998008962637	1.46793656363026
40	5	20	0.001999	0.16334	2e-06	0	10	"sieve"	"candidate_snvs"	"smc_mu_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mu_ld_stage_1/0010/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0010"	76	14	0.184210526315789	7.46178706726306	0.999998239218944	1.79623554382017
40	5	20	0.001999	0.16334	2e-06	0	1	"indelsieve"	"candidate_snvs"	"smc_mudel_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_ld_stage_1/0001/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0001"	76	16	0.210526315789474	10.7558887243304	0.999998720433232	2.52131650135563
40	5	20	0.001999	0.16334	2e-06	0	2	"indelsieve"	"candidate_snvs"	"smc_mudel_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_ld_stage_1/0002/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0002"	76	22	0.289473684210526	10.6352095588614	0.999998875686604	2.36658461693737
40	5	20	0.001999	0.16334	2e-06	0	3	"indelsieve"	"candidate_snvs"	"smc_mudel_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_ld_stage_1/0003/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0003"	76	24	0.315789473684211	10.2745119194514	0.999998805751771	2.23791476959344
40	5	20	0.001999	0.16334	2e-06	0	4	"indelsieve"	"candidate_snvs"	"smc_mudel_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_ld_stage_1/0004/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0004"	76	30	0.394736842105263	8.87406988101511	0.999998727567885	2.10399534147628
40	5	20	0.001999	0.16334	2e-06	0	5	"indelsieve"	"candidate_snvs"	"smc_mudel_ld_stage_1"	"mt"	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_ld_stage_1/0005/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_ld_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0005"	76	14	0.184210526315789	10.1958942701937	0.999998795992846	2.64531674820612
